name,type,rarity,setName,setCode,isUniversesBeyond,releaseDate,year,keywords,keywordCount,manaValue,power,toughness,coreStats,defense,colors,isMulticolor,text,commanderLegal,edhrecRank
"james, wandering dad // follow him",instant — adventure,rare,Fallout,PIP,True,2024-03-08,2024,['Investigate'],1,3.0,,,3.0,,['U'],False,Investigate X times. (Then exile this card. You may cast the creature later from exile.),True,8375.0
"jason bright, glowing prophet",legendary creature — zombie mutant advisor,rare,Fallout,PIP,True,2024-03-08,2024,['Come Fly With Me'],1,3.0,2.0,3.0,8.0,,['U'],False,"Whenever a Zombie or Mutant you control dies, if its power was different from its base power, draw a card.
Come Fly With Me - {2}, Sacrifice a creature: Put a +1/+1 counter on target creature you control. It gains flying until end of turn.",True,8083.0
mirelurk queen,creature — crab mutant,rare,Fallout,PIP,True,2024-03-08,2024,['Vigilance'],1,5.0,4.0,4.0,13.0,,['U'],False,"Vigilance
When this creature enters, target player gets two rad counters.
Whenever one or more nonland cards are milled, draw a card, then put a +1/+1 counter on this creature. This ability triggers only once each turn.",True,4034.0
nerd rage,enchantment — aura,uncommon,Fallout,PIP,True,2024-03-08,2024,['Enchant'],1,3.0,,,3.0,,['U'],False,"Enchant creature
When this Aura enters, draw two cards.
Enchanted creature has ""You have no maximum hand size"" and ""Whenever this creature attacks, if you have ten or more cards in hand, it gets +10/+10 until end of turn.""",True,4577.0
"nick valentine, private eye",legendary artifact creature — synth detective,rare,Fallout,PIP,True,2024-03-08,2024,['Investigate'],1,3.0,2.0,2.0,7.0,,['U'],False,"Nick Valentine can't be blocked except by artifact creatures.
Whenever Nick Valentine or another artifact creature you control dies, you may investigate. (To investigate, create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",True,9923.0
"piper wright, publick reporter",legendary creature — human detective,rare,Fallout,PIP,True,2024-03-08,2024,['Investigate'],1,2.0,1.0,2.0,5.0,,['U'],False,"Whenever Piper Wright deals combat damage to a player, investigate that many times. (To investigate, create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
Whenever you sacrifice a Clue, put a +1/+1 counter on target creature you control.",True,5938.0
radstorm,instant,rare,Fallout,PIP,True,2024-03-08,2024,"['Proliferate', 'Storm']",2,4.0,,,4.0,,['U'],False,"Storm (When you cast this spell, copy it for each spell cast before it this turn.)
Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",True,2581.0
robobrain war mind,artifact creature — robot,uncommon,Fallout,PIP,True,2024-03-08,2024,[],0,4.0,,5.0,9.0,,['U'],False,"Robobrain War Mind's power is equal to the number of cards in your hand.
When this creature enters, you get an amount of {E} (energy counters) equal to the number of artifact creatures you control.
Whenever this creature attacks, you may pay {E}{E}{E}. If you do, draw a card.",True,9287.0
struggle for project purity,enchantment,rare,Fallout,PIP,True,2024-03-08,2024,[],0,4.0,,,4.0,,['U'],False,"As this enchantment enters, choose Brotherhood or Enclave.
• Brotherhood - At the beginning of your upkeep, each opponent draws a card. You draw a card for each card drawn this way.
• Enclave - Whenever a player attacks you with one or more creatures, that player gets twice that many rad counters.",True,2450.0
synth infiltrator,artifact creature — synth,rare,Fallout,PIP,True,2024-03-08,2024,['Improvise'],1,5.0,0.0,0.0,5.0,,['U'],False,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
You may have this creature enter as a copy of any creature on the battlefield, except it's a Synth artifact creature in addition to its other types.",True,8276.0
vexing radgull,creature — bird mutant,uncommon,Fallout,PIP,True,2024-03-08,2024,"['Flying', 'Proliferate']",2,2.0,1.0,2.0,5.0,,['U'],False,"Flying
Whenever this creature deals combat damage to a player, that player gets two rad counters if they don't have any rad counters. Otherwise, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",True,4405.0
bloatfly swarm,creature — insect mutant,uncommon,Fallout,PIP,True,2024-03-08,2024,['Flying'],1,4.0,0.0,0.0,4.0,,['B'],False,"Flying
This creature enters with five +1/+1 counters on it.
If damage would be dealt to this creature while it has a +1/+1 counter on it, prevent that damage, remove that many +1/+1 counters from it, then give each player a rad counter for each +1/+1 counter removed this way.",True,5013.0
"butch deloria, tunnel snake",legendary creature — human rogue,uncommon,Fallout,PIP,True,2024-03-08,2024,"['Menace', 'Tunnel Snakes Rule!']",2,2.0,2.0,2.0,6.0,,['B'],False,"Menace (This creature can't be blocked except by two or more creatures.)
Tunnel Snakes Rule! - Whenever Butch DeLoria attacks, it gets +1/+1 until end of turn for each other Rogue and/or Snake you control.
{1}{B}: Put a menace counter on another target creature. It becomes a Rogue in addition to its other types.",True,10416.0
feral ghoul,creature — zombie mutant,rare,Fallout,PIP,True,2024-03-08,2024,['Menace'],1,3.0,2.0,2.0,7.0,,['B'],False,"Menace
Whenever another creature you control dies, put a +1/+1 counter on this creature.
When this creature dies, each opponent gets a number of rad counters equal to its power.",True,3679.0
"hancock, ghoulish mayor",legendary creature — zombie mutant advisor,rare,Fallout,PIP,True,2024-03-08,2024,['Undying'],1,3.0,2.0,1.0,6.0,,['B'],False,"Each other creature you control that's a Zombie or Mutant gets +X/+X, where X is the number of counters on Hancock.
Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)",True,6906.0
infesting radroach,creature — insect mutant,uncommon,Fallout,PIP,True,2024-03-08,2024,"['Flying', 'Mill']",2,3.0,2.0,2.0,7.0,,['B'],False,"Flying
This creature can't block.
Whenever this creature deals combat damage to a player, they get that many rad counters.
Whenever an opponent mills a nonland card, if this creature is in your graveyard, you may return it to your hand.",True,4715.0
nuclear fallout,sorcery,rare,Fallout,PIP,True,2024-03-08,2024,[],0,2.0,,,2.0,,['B'],False,Each creature gets twice -X/-X until end of turn. Each player gets X rad counters.,True,2717.0
ruthless radrat,creature — rat mutant,uncommon,Fallout,PIP,True,2024-03-08,2024,"['Menace', 'Squad']",2,3.0,2.0,2.0,7.0,,['B'],False,"Squad-Exile four cards from your graveyard. (As an additional cost to cast this spell, you may pay its squad cost any number of times. When this creature enters, create that many tokens that are copies of it.)
Menace (This creature can't be blocked except by two or more creatures.)",True,11775.0
screeching scorchbeast,creature — bat mutant,rare,Fallout,PIP,True,2024-03-08,2024,"['Flying', 'Menace']",2,6.0,5.0,5.0,16.0,,['B'],False,"Flying, menace
Whenever this creature attacks, each player gets two rad counters.
Whenever one or more nonland cards are milled, you may create that many 2/2 black Zombie Mutant creature tokens. Do this only once each turn.",True,3856.0
v.a.t.s.,instant,rare,Fallout,PIP,True,2024-03-08,2024,['Split second'],1,4.0,,,4.0,,['B'],False,"Split second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)
Choose any number of target creatures with equal toughness. Destroy the chosen creatures.",True,3952.0
vault 12: the necropolis,enchantment — saga,rare,Fallout,PIP,True,2024-03-08,2024,[],0,6.0,,,6.0,,['B'],False,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I - Each player gets three rad counters.
II - Create X 2/2 black Zombie Mutant creature tokens, where X is the total number of rad counters among players.
III - Put two +1/+1 counters on each creature you control that's a Zombie or Mutant.",True,6179.0
wasteland raider,creature — human mercenary,rare,Fallout,PIP,True,2024-03-08,2024,['Squad'],1,4.0,4.0,3.0,11.0,,['B'],False,"Squad {2} (As an additional cost to cast this spell, you may pay {2} any number of times. When this creature enters, create that many tokens that are copies of it.)
When this creature enters, each player sacrifices a creature of their choice.",True,7572.0
acquired mutation,enchantment — aura,uncommon,Fallout,PIP,True,2024-03-08,2024,"['Enchant', 'Goad']",2,3.0,,,3.0,,['R'],False,"Enchant creature
Enchanted creature gets +2/+2 and is goaded. (It attacks each combat if able and attacks a player other than you if able.)
Whenever enchanted creature attacks, defending player gets two rad counters.",True,9473.0
assaultron dominator,artifact creature — robot,rare,Fallout,PIP,True,2024-03-08,2024,[],0,2.0,2.0,2.0,6.0,,['R'],False,"When this creature enters, you get {E}{E} (two energy counters).
Whenever an artifact creature you control attacks, you may pay {E}. If you do, put your choice of a +1/+1, first strike, or trample counter on that creature.",True,6183.0
bottle-cap blast,instant,uncommon,Fallout,PIP,True,2024-03-08,2024,"['Improvise', 'Treasure']",2,5.0,,,5.0,,['R'],False,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
Bottle-Cap Blast deals 5 damage to any target. If excess damage was dealt to a permanent this way, create that many tapped Treasure tokens. (They're artifacts with ""{T}, Sacrifice this token: Add one mana of any color."")",True,4187.0
crimson caravaneer,creature — human scout,uncommon,Fallout,PIP,True,2024-03-08,2024,"['Double strike', 'Trample']",2,3.0,1.0,2.0,6.0,,['R'],False,"Double strike, trample
Whenever this creature deals combat damage to a player, create a Junk token. (It's an artifact with ""{T}, Sacrifice this token: Exile the top card of your library. You may play that card this turn. Activate only as a sorcery."")",True,9667.0
"duchess, wayward tavernkeep",legendary creature — human citizen,rare,Fallout,PIP,True,2024-03-08,2024,['Hunters for Hire'],1,4.0,4.0,3.0,11.0,,['R'],False,"Hunters for Hire - Whenever a creature you control deals combat damage to a player, put a quest counter on it.
{1}, Remove a quest counter from a permanent you control: Create a Junk token. (It's an artifact with ""{T}, Sacrifice this token: Exile the top card of your library. You may play that card this turn. Activate only as a sorcery."")",True,13354.0
grim reaper's sprint,enchantment — aura,rare,Fallout,PIP,True,2024-03-08,2024,"['Enchant', 'Morbid']",2,5.0,,,5.0,,['R'],False,"Morbid - This spell costs {3} less to cast if a creature died this turn.
Enchant creature
When this Aura enters, untap each creature you control. If it's your main phase, there is an additional combat phase after this phase.
Enchanted creature gets +2/+2 and has haste.",True,4235.0
ian the reckless,legendary creature — human warrior,uncommon,Fallout,PIP,True,2024-03-08,2024,[],0,2.0,2.0,1.0,5.0,,['R'],False,"Whenever Ian the Reckless attacks, if it's modified, you may have it deal damage equal to its power to you and any target. (Equipment, Auras you control, and counters are modifications.)",True,14635.0
junk jet,artifact — equipment,rare,Fallout,PIP,True,2024-03-08,2024,['Equip'],1,2.0,,,2.0,,['R'],False,"When this Equipment enters, create a Junk token. (It's an artifact with ""{T}, Sacrifice this token: Exile the top card of your library. You may play that card this turn. Activate only as a sorcery."")
{3}, Sacrifice another artifact: Double equipped creature's power until end of turn.
Equip {1}",True,8899.0
megaton's fate,sorcery,rare,Fallout,PIP,True,2024-03-08,2024,"['Detonate', 'Disarm', 'Treasure']",3,6.0,,,6.0,,['R'],False,"Choose one -
• Disarm - Destroy target artifact. Create four Treasure tokens.
• Detonate - Megaton's Fate deals 8 damage to each creature. Each player gets four rad counters.",True,8753.0
"the motherlode, excavator",legendary artifact creature — robot,rare,Fallout,PIP,True,2024-03-08,2024,[],0,5.0,5.0,5.0,15.0,,['R'],False,"When The Motherlode enters, choose target opponent. You get an amount of {E} (energy counters) equal to the number of nonbasic lands that player controls.
Whenever The Motherlode attacks, you may pay {E}{E}{E}{E}. When you do, destroy target nonbasic land defending player controls, and creatures that player controls without flying can't block this turn.",True,7102.0
mysterious stranger,creature — human rogue,rare,Fallout,PIP,True,2024-03-08,2024,['Flash'],1,4.0,3.0,2.0,9.0,,['R'],False,"Flash
When this creature enters, for each graveyard with an instant or sorcery card in it, exile target instant or sorcery card from that graveyard. If two or more cards are exiled this way, choose one of them at random and copy it. You may cast the copy without paying its mana cost.",True,9279.0
plasma caster,artifact — equipment,rare,Fallout,PIP,True,2024-03-08,2024,['Equip'],1,2.0,,,2.0,,['R'],False,"Equipped creature gets +1/+1.
Whenever equipped creature attacks, you get {E}{E} (two energy counters).
Pay {E}{E}: Choose target creature that's blocking equipped creature. Flip a coin. If you win the flip, exile the chosen creature. Otherwise, this Equipment deals 1 damage to it.
Equip {2}",True,7307.0
powder ganger,creature — human rogue,rare,Fallout,PIP,True,2024-03-08,2024,['Squad'],1,3.0,2.0,2.0,7.0,,['R'],False,"Squad {2} (As an additional cost to cast this spell, you may pay {2} any number of times. When this creature enters, create that many tokens that are copies of it.)
When this creature enters, destroy up to one target artifact.",True,9028.0
"rose, cutthroat raider",legendary artifact creature — robot,rare,Fallout,PIP,True,2024-03-08,2024,"['First strike', 'Raid']",2,4.0,3.0,2.0,9.0,,['R'],False,"First strike
Raid - At end of combat on your turn, if you attacked this turn, create a Junk token for each opponent you attacked. (It's an artifact with ""{T}, Sacrifice this token: Exile the top card of your library. You may play that card this turn. Activate only as a sorcery."")
Whenever you sacrifice a Junk, add {R}.",True,4249.0
synth eradicator,artifact creature — synth soldier,rare,Fallout,PIP,True,2024-03-08,2024,['Haste'],1,3.0,3.0,3.0,9.0,,['R'],False,"Haste
Whenever this creature attacks, exile the top card of your library. You may get {E}{E} (two energy counters). If you don't, you may play that card this turn.
{T}, Pay {E}{E}{E}: This creature deals 3 damage to any target.",True,7519.0
thrill-kill disciple,creature — human mercenary,rare,Fallout,PIP,True,2024-03-08,2024,['Squad'],1,3.0,3.0,2.0,8.0,,['R'],False,"Squad-{1}, Discard a card. (As an additional cost to cast this spell, you may pay its squad cost any number of times. When this creature enters, create that many tokens that are copies of it.)
When this creature dies, create a Junk token.",True,14157.0
vault 21: house gambit,enchantment — saga,rare,Fallout,PIP,True,2024-03-08,2024,['Treasure'],1,2.0,,,2.0,,['R'],False,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I, II - Discard a card, then draw a card.
III - Reveal up to five nonland cards from your hand. For each of those cards that has the same mana value as another card revealed this way, create a Treasure token.",True,11105.0
"veronica, dissident scribe",legendary creature — human artificer rogue,rare,Fallout,PIP,True,2024-03-08,2024,['Menace'],1,3.0,3.0,3.0,9.0,,['R'],False,"Menace
Whenever Veronica attacks, you may discard a card. If you do, draw a card.
Whenever you discard one or more nonland cards for the first time each turn, create a Junk token. (It's an artifact with ""{T}, Sacrifice this token: Exile the top card of your library. You may play that card this turn. Activate only as a sorcery."")",True,8308.0
wild wasteland,enchantment,rare,Fallout,PIP,True,2024-03-08,2024,[],0,3.0,,,3.0,,['R'],False,"Skip your draw step.
At the beginning of your upkeep, exile the top two cards of your library. You may play those cards this turn.",True,4208.0
animal friend,enchantment — aura,rare,Fallout,PIP,True,2024-03-08,2024,['Enchant'],1,2.0,,,2.0,,['G'],False,"Enchant creature
Enchanted creature has ""Whenever this creature attacks, create a 1/1 green Squirrel creature token. Put a +1/+1 counter on that token for each Aura and Equipment attached to this creature other than Animal Friend.""",True,9226.0
bighorner rancher,creature — human ranger,uncommon,Fallout,PIP,True,2024-03-08,2024,['Vigilance'],1,5.0,2.0,5.0,12.0,,['G'],False,"Vigilance
{T}: Add an amount of {G} equal to the greatest power among creatures you control.
Sacrifice this creature: You gain life equal to the greatest toughness among other creatures you control.",True,6017.0
break down,instant,uncommon,Fallout,PIP,True,2024-03-08,2024,[],0,3.0,,,3.0,,['G'],False,"Destroy target artifact or enchantment. Create a Junk token. (It's an artifact with ""{T}, Sacrifice this token: Exile the top card of your library. You may play that card this turn. Activate only as a sorcery."")",True,10494.0
cathedral acolyte,creature — human cleric,uncommon,Fallout,PIP,True,2024-03-08,2024,[],0,2.0,1.0,2.0,5.0,,['G'],False,"Each creature you control with a counter on it has ward {1}. (Whenever it becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)
{T}: Put a +1/+1 counter on target creature that entered this turn.",True,5751.0
glowing one,creature — zombie mutant,uncommon,Fallout,PIP,True,2024-03-08,2024,"['Deathtouch', 'Mill']",2,3.0,2.0,2.0,7.0,,['G'],False,"Deathtouch
Whenever this creature deals combat damage to a player, they get four rad counters.
Whenever a player mills a nonland card, you gain 1 life.",True,4192.0
gunner conscript,creature — human mercenary,uncommon,Fallout,PIP,True,2024-03-08,2024,['Trample'],1,2.0,2.0,2.0,6.0,,['G'],False,"Trample
This creature gets +1/+1 for each Aura and Equipment attached to it.
When this creature dies, if it was enchanted, create a Junk token.
When this creature dies, if it was equipped, create a Junk token.",True,12438.0
"harold and bob, first numens",legendary creature — treefolk mutant,rare,Fallout,PIP,True,2024-03-08,2024,"['Reach', 'Vigilance']",2,3.0,3.0,3.0,9.0,,['G'],False,"Vigilance, reach
When Harold and Bob dies, if it was a creature, return it to the battlefield. It's an Aura enchantment with enchant Forest you control and ""Enchanted Forest has '{T}: Add three mana of any one color. You get two rad counters.'"" Harold and Bob loses all other abilities.",True,8269.0
"lily bowen, raging grandma",legendary creature — mutant warrior,rare,Fallout,PIP,True,2024-03-08,2024,['Vigilance'],1,4.0,0.0,0.0,4.0,,['G'],False,"Vigilance
Lily Bowen enters with two +1/+1 counters on it.
At the beginning of your upkeep, double the number of +1/+1 counters on Lily Bowen if its power is 16 or less. Otherwise, remove all but one +1/+1 counter from it, then you gain 1 life for each +1/+1 counter removed this way.",True,6816.0
lumbering megasloth,creature — sloth mutant,uncommon,Fallout,PIP,True,2024-03-08,2024,['Trample'],1,12.0,8.0,8.0,28.0,,['G'],False,"This spell costs {1} less to cast for each counter among players and permanents.
Trample
This creature enters tapped.",True,11156.0
power fist,artifact — equipment,rare,Fallout,PIP,True,2024-03-08,2024,['Equip'],1,2.0,,,2.0,,['G'],False,"Equipped creature has trample and ""Whenever this creature deals combat damage to a player, put that many +1/+1 counters on it.""
Equip {2}",True,1790.0
rampaging yao guai,creature — bear mutant,rare,Fallout,PIP,True,2024-03-08,2024,"['Trample', 'Vigilance']",2,3.0,2.0,2.0,7.0,,['G'],False,"Vigilance, trample
This creature enters with X +1/+1 counters on it.
When this creature enters, destroy any number of target artifacts and/or enchantments with total mana value X or less.",True,3075.0
strong back,enchantment — aura,rare,Fallout,PIP,True,2024-03-08,2024,['Enchant'],1,3.0,,,3.0,,['G'],False,"Enchant creature
Equip abilities you activate that target enchanted creature cost {3} less to activate.
Aura spells you cast that target enchanted creature cost {3} less to cast.
Enchanted creature gets +2/+2 for each Aura and Equipment attached to it.",True,3019.0
"strong, the brutish thespian",legendary creature — mutant berserker,rare,Fallout,PIP,True,2024-03-08,2024,"['Enrage', 'Ward']",2,6.0,7.0,7.0,20.0,,['G'],False,"Ward {2}
Enrage - Whenever Strong is dealt damage, you get three rad counters and put three +1/+1 counters on Strong.
You gain life rather than lose life from radiation.",True,5577.0
super mutant scavenger,creature — mutant warrior,uncommon,Fallout,PIP,True,2024-03-08,2024,['Trample'],1,5.0,5.0,5.0,15.0,,['G'],False,"Trample
When this creature enters or dies, return up to one target Aura or Equipment card from your graveyard to your hand.",True,13615.0
tato farmer,creature — zombie mutant peasant,rare,Fallout,PIP,True,2024-03-08,2024,['Landfall'],1,3.0,1.0,4.0,8.0,,['G'],False,"Landfall - Whenever a land you control enters, you may get two rad counters.
{T}: Put target land card in a graveyard that was milled this turn onto the battlefield under your control tapped.",True,3842.0
watchful radstag,creature — elk mutant,rare,Fallout,PIP,True,2024-03-08,2024,['Evolve'],1,3.0,2.0,2.0,7.0,,['G'],False,"Evolve (Whenever a creature you control enters, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)
Whenever this creature evolves, create a token that's a copy of it.",True,5795.0
well rested,enchantment — aura,uncommon,Fallout,PIP,True,2024-03-08,2024,['Enchant'],1,2.0,,,2.0,,['G'],False,"Enchant creature
Enchanted creature has ""Whenever this creature becomes untapped, put two +1/+1 counters on it, then you gain 2 life and draw a card. This ability triggers only once each turn.""",True,3614.0
agent frank horrigan,legendary creature — mutant warrior,rare,Fallout,PIP,True,2024-03-08,2024,"['Proliferate', 'Trample']",2,7.0,8.0,6.0,21.0,,"['B', 'G']",True,"Trample
Agent Frank Horrigan has indestructible as long as it attacked this turn.
Whenever Agent Frank Horrigan enters or attacks, proliferate twice. (To proliferate, choose any number of permanents and/or players, then give each another counter of each kind already there.)",True,3484.0
almost perfect,enchantment — aura,rare,Fallout,PIP,True,2024-03-08,2024,['Enchant'],1,6.0,,,6.0,,"['G', 'W']",True,"Enchant creature
Enchanted creature has base power and toughness 9/10 and has indestructible.",True,7981.0
alpha deathclaw,creature — lizard mutant,rare,Fallout,PIP,True,2024-03-08,2024,"['Menace', 'Monstrosity', 'Trample']",3,6.0,6.0,6.0,18.0,,"['B', 'G']",True,"Menace, trample
When this creature enters or becomes monstrous, destroy target permanent.
{5}{B}{G}: Monstrosity 4. (If this creature isn't monstrous, put four +1/+1 counters on it and it becomes monstrous.)",True,4562.0
arcade gannon,legendary creature — human doctor,rare,Fallout,PIP,True,2024-03-08,2024,['For Auld Lang Syne'],1,4.0,2.0,3.0,9.0,,"['U', 'W']",True,"{T}: Draw a card, then discard a card. Put a quest counter on Arcade Gannon.
For Auld Lang Syne - Once during each of your turns, you may cast an artifact or Human spell from your graveyard with mana value less than or equal to the number of quest counters on Arcade Gannon.",True,10366.0
armory paladin,creature — human knight,rare,Fallout,PIP,True,2024-03-08,2024,['Trample'],1,3.0,3.0,3.0,9.0,,"['R', 'W']",True,"Trample
Whenever you cast an Aura or Equipment spell, exile the top card of your library. You may play that card until the end of your next turn.",True,7180.0
atomize,instant,rare,Fallout,PIP,True,2024-03-08,2024,['Proliferate'],1,4.0,,,4.0,,"['B', 'G']",True,"Destroy target nonland permanent. Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",True,2206.0
boomer scrapper,creature — human soldier,rare,Fallout,PIP,True,2024-03-08,2024,[],0,3.0,1.0,1.0,5.0,,"['B', 'R']",True,"Whenever this creature enters or attacks, you lose 1 life and create a Junk token. (It's an artifact with ""{T}, Sacrifice this token: Exile the top card of your library. You may play that card this turn. Activate only as a sorcery."")
Whenever a token you control leaves the battlefield, put a +1/+1 counter on this creature.",True,10506.0
"cait, cage brawler",legendary creature — human warrior,rare,Fallout,PIP,True,2024-03-08,2024,[],0,2.0,1.0,1.0,4.0,,"['G', 'R']",True,"During your turn, Cait has indestructible.
Whenever Cait attacks, you and defending player each draw a card, then discard a card. Put two +1/+1 counters on Cait if you discarded the card with the greatest mana value among those cards or tied for greatest.",True,11396.0
"cass, hand of vengeance",legendary creature — human ranger,rare,Fallout,PIP,True,2024-03-08,2024,['Vigilance'],1,4.0,4.0,3.0,11.0,,"['R', 'W']",True,"Vigilance
Whenever Cass or another creature you control dies, if it was enchanted or equipped, return any number of Aura cards that were attached to it from your graveyard to the battlefield attached to target creature, then attach any number of Equipment that were attached to it to that creature.",True,9730.0
colonel autumn,legendary creature — human soldier,rare,Fallout,PIP,True,2024-03-08,2024,"['Exploit', 'Lifelink']",2,3.0,2.0,3.0,8.0,,"['B', 'W']",True,"Lifelink
Exploit (When this creature enters, you may sacrifice a creature.)
Other legendary creatures you control have exploit.
Whenever a creature you control exploits a creature, put a +1/+1 counter on each creature you control.",True,7368.0
contaminated drink,instant,uncommon,Fallout,PIP,True,2024-03-08,2024,[],0,2.0,,,2.0,,"['B', 'U']",True,"Draw X cards, then you get half X rad counters, rounded up.",True,7467.0
"craig boone, novac guard",legendary creature — human soldier,uncommon,Fallout,PIP,True,2024-03-08,2024,"['Lifelink', 'One for My Baby', 'Reach']",3,3.0,3.0,3.0,9.0,,"['R', 'W']",True,"Reach, lifelink
One for My Baby - Whenever you attack with two or more creatures, put two quest counters on Craig Boone. When you do, Craig Boone deals damage equal to the number of quest counters on it to up to one target creature unless that creature's controller has Craig Boone deal that much damage to them.",True,7268.0
"desdemona, freedom's edge",legendary creature — human rogue,rare,Fallout,PIP,True,2024-03-08,2024,['Vigilance'],1,4.0,3.0,4.0,11.0,,"['R', 'W']",True,"Vigilance
Whenever Desdemona attacks, target creature card in your graveyard that's an artifact or that has mana value 3 or less gains escape until end of turn. The escape cost is equal to its mana cost plus exile two other cards from your graveyard. (You may cast it from your graveyard for its escape cost this turn.)",True,14804.0
elder arthur maxson,legendary creature — human knight,rare,Fallout,PIP,True,2024-03-08,2024,['Blind Betrayal'],1,3.0,4.0,2.0,9.0,,"['B', 'W']",True,"Creature tokens you control have training. (Whenever a creature token you control attacks with another creature with greater power, put a +1/+1 counter on that token.)
Blind Betrayal - Sacrifice another creature: Elder Arthur Maxson gains indestructible until end of turn.",True,7781.0
elder owyn lyons,legendary creature — human knight,uncommon,Fallout,PIP,True,2024-03-08,2024,[],0,4.0,3.0,3.0,10.0,,"['U', 'W']",True,"Artifacts you control have ward {1}. (Whenever an artifact you control becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)
When Elder Owyn Lyons enters or dies, return target artifact card from your graveyard to your hand.",True,10264.0
electrosiphon,instant,rare,Fallout,PIP,True,2024-03-08,2024,[],0,3.0,,,3.0,,"['R', 'U']",True,Counter target spell. You get an amount of {E} (energy counters) equal to its mana value.,True,4915.0
inventory management,instant,rare,Fallout,PIP,True,2024-03-08,2024,['Split second'],1,2.0,,,2.0,,"['R', 'W']",True,"Split second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)
For each Aura and Equipment you control, you may attach it to a creature you control.",True,3264.0
"kellogg, dangerous mind",legendary creature — human mercenary,rare,Fallout,PIP,True,2024-03-08,2024,"['First strike', 'Haste', 'Treasure']",3,3.0,3.0,2.0,8.0,,"['B', 'R']",True,"First strike, haste
Whenever Kellogg attacks, create a Treasure token.
Sacrifice five Treasures: Gain control of target creature for as long as you control Kellogg. Activate only as a sorcery.",True,2490.0
"legate lanius, caesar's ace",legendary creature — human soldier,uncommon,Fallout,PIP,True,2024-03-08,2024,['Decimate'],1,4.0,2.0,2.0,8.0,,"['B', 'R']",True,"Decimate - When Legate Lanius enters, each opponent sacrifices a tenth of the creatures they control of their choice, rounded up.
Whenever an opponent sacrifices a creature, put a +1/+1 counter on Legate Lanius.",True,9859.0
"maccready, lamplight mayor",legendary creature — human advisor,rare,Fallout,PIP,True,2024-03-08,2024,[],0,2.0,1.0,3.0,6.0,,"['B', 'W']",True,"Whenever a creature you control with power 2 or less attacks, it gains skulk until end of turn. (It can't be blocked by creatures with greater power.)
Whenever a creature with power 4 or greater attacks you, its controller loses 2 life and you gain 2 life.",True,3796.0
"marcus, mutant mayor",legendary creature — mutant advisor,rare,Fallout,PIP,True,2024-03-08,2024,"['Trample', 'Vigilance']",2,5.0,4.0,4.0,13.0,,"['G', 'U']",True,"Vigilance, trample
Whenever a creature you control deals combat damage to a player, draw a card if that creature has a +1/+1 counter on it. If it doesn't, put a +1/+1 counter on it.",True,6112.0
"moira brown, guide author",legendary creature — human citizen,rare,Fallout,PIP,True,2024-03-08,2024,[],0,3.0,2.0,3.0,8.0,,"['R', 'W']",True,"When Moira Brown enters, create a colorless Equipment artifact token named Wasteland Survival Guide with ""Equipped creature gets +1/+1 for each quest counter among permanents you control"" and equip {1}.
Whenever you attack, put a quest counter on target nonland permanent you control.",True,13954.0
mutational advantage,instant,rare,Fallout,PIP,True,2024-03-08,2024,['Proliferate'],1,3.0,,,3.0,,"['G', 'U']",True,"Permanents you control with counters on them gain hexproof and indestructible until end of turn. Prevent all damage that would be dealt to those permanents this turn. Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",True,2123.0
nightkin ambusher,creature — mutant warrior,uncommon,Fallout,PIP,True,2024-03-08,2024,['Ward'],1,4.0,4.0,4.0,12.0,,"['B', 'U']",True,"Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
When this creature enters, target player gets four rad counters.
This creature can't be blocked as long as defending player has a rad counter.",True,6529.0
the nipton lottery,sorcery,rare,Fallout,PIP,True,2024-03-08,2024,[],0,4.0,,,4.0,,"['B', 'R']",True,Choose a creature at random. You gain control of that creature until end of turn. Untap it. It gains haste until end of turn. Then destroy all other creatures.,True,10239.0
paladin elizabeth taggerdy,legendary creature — human knight,rare,Fallout,PIP,True,2024-03-08,2024,['Battalion'],1,3.0,3.0,2.0,8.0,,"['R', 'W']",True,"Battalion - Whenever Paladin Elizabeth Taggerdy and at least two other creatures attack, draw a card, then you may put a creature card with mana value X or less from your hand onto the battlefield tapped and attacking, where X is Paladin Elizabeth Taggerdy's power.",True,6351.0
